id,Subject,Type,Status,Assignee,Priority,Work,Total work,Version,Team,Story Points,Sprint,Project phase,Project,Position,Parent,Created on,Author,Accountable,Description
394,"Là Player, tôi muốn các nhiệm vụ Goals để Unlock City mới dễ thực hiện, bám sát với Progression tự nhiên trong quá trình chơi để trải nghiệm game liền mạch và không cảm thấy bị gò bó bởi các thử thách quá khó so với cấp độ xe hiện tại",User story,In progress,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,167,Sub Feature #333: Goals Config,06/17/2026 09:23 AM,Phước Hồ Đức,"","\- Thiết kế sẵn Pool nhiệm vụ với 11 nhiệm vụ.  
\- Phân bậc nhiệm vụ theo lộ trình phát triển (Tiered Progression).  
\- Các nhiệm vụ được phân ra làm 2 loại: Progression và Checkbox.  
\- Các nhiệm vụ đảm bảo Track đúng và đủ tiến trình thực hiện để Update chính xác."
395,"Là QC, tôi muốn có thể thay đổi các thông số hoàn thành của các Goals thông qua một dạng bảng DataTable để thử nghiệm nhiều loại nhiệm vụ khác nhau, tối ưu hóa việc cân bằng game mà không cần can thiệp vào mã nguồn",User story,In progress,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,168,Sub Feature #333: Goals Config,06/17/2026 09:27 AM,Phước Hồ Đức,"","\- Hỗ trợ cấu trúc bảng dữ liệu (Data Table Support) hoặc loại nhập liệu khác tương đương.  
\- Có các thông số có thể điều chỉnh được. (Hành động, số lượng, thay đổi phân bậc, phần thưởng).  
\- Khả năng đồng bộ với dữ liệu hiện tại của Game (Hot Reload/Sync) để test nhanh In-Game.  
\- Tích hợp trong hệ thống Debug hiện có.  
\- Cho phép điều chỉnh nhiệm vụ cụ thể của từng CIty hoặc Random."
396,Implement_US376_ Camera - Drifting,Summary task,Developed,Long Trần Anh Thượng,Normal,"",8.0,"",Dev,"","","",VNRacing,169,"User story #376: Là người chơi, tôi muốn Camera có góc nhìn rộng và mạnh mẽ hơn khi thực hiện cú Drift để tăng cảm giác phấn khích của dòng game Arcade",06/17/2026 09:30 AM,Giang Dương Võ Trà,"",""
397,Dev_Implement_US377 - Camera - NOS,Summary task,In progress,Long Trần Anh Thượng,Normal,"",14.0,"",Dev,"","","",VNRacing,170,"User story #377: Là người chơi, tôi muốn thấy hiệu ứng Camera giật mạnh và thay đổi tiêu cự khi dùng NOS để cảm nhận được gia tốc cực đại của xe",06/17/2026 09:31 AM,Giang Dương Võ Trà,"",""
398,GD_Play Test_US 378_Camera Collision,Task,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,171,"User story #378: Là người chơi, tôi muốn Camera có phản hồi rung động khi va chạm để nhận biết được mức độ thiệt hại và tác động vật lý",06/17/2026 09:34 AM,Giang Dương Võ Trà,"",""
399,Dev_Implment_US 378_  Camera - Collision,Summary task,Specified,Long Trần Anh Thượng,Normal,"",12.0,"",Dev,"","","",VNRacing,172,"User story #378: Là người chơi, tôi muốn Camera có phản hồi rung động khi va chạm để nhận biết được mức độ thiệt hại và tác động vật lý",06/17/2026 09:34 AM,Giang Dương Võ Trà,"",""
400,Theme Change,Feature,New,"",Normal,"",24.0,"",Game Design,"","","",VNRacing,173,Epic #298: CUSTOMIZE ,06/17/2026 10:12 AM,Giang Dương Võ Trà,"",""
401,Car Customize Visual,Feature,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,174,Epic #298: CUSTOMIZE ,06/17/2026 10:14 AM,Giang Dương Võ Trà,"",""
402,Car Customize Performance,Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,175,Epic #298: CUSTOMIZE ,06/17/2026 10:14 AM,Giang Dương Võ Trà,"",""
403,Car Selection,Feature,In specification,"",Normal,"",12.0,"",Game Design,"","","",VNRacing,176,Epic #298: CUSTOMIZE ,06/17/2026 10:15 AM,Giang Dương Võ Trà,"","Switch Car: [https://project.clickstudio.com.vn/api/v3/attachments/230/content](https://project.clickstudio.com.vn/api/v3/attachments/230/content)

<br>"
404,Research Document & Architech ,Task,Waiting for approve,Đời Huỳnh Văn,Normal,4.0,"","",Dev,"","","",VNRacing,177,Epic #298: CUSTOMIZE ,06/17/2026 10:16 AM,Giang Dương Võ Trà,"",""
405,Shop Display ,Feature,New,"",Normal,"","","",Dev,"","","",VNRacing,178,Epic #366: SHOP & IAP,06/17/2026 10:34 AM,Giang Dương Võ Trà,"",""
406,Dev_Implment_US410 _City (C1-C5),Summary task,Developed,Long Trần Anh Thượng,Normal,"",24.0,"",Dev,"","","",VNRacing,179,"User story #410: Là QC, tôi muốn thấy các City Dummy với bộ dữ liệu được Setup làm Place Holder để kiểm tra các City và các Track đã được Unlock, giúp đảm bảo tính sẵn sàng của môi trường kiểm thử và luồng dữ liệu tiến trình",06/17/2026 11:05 AM,Giang Dương Võ Trà,"",""
407,"Là người chơi, tôi muốn mỗi City khi Unlock sẽ chạy một đoạn Cinematic giới thiệu các địa điểm đặc trưng của City đó để tăng sự phấn khích.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,180,Sub Feature #339: Map Scene Unlock,06/17/2026 01:40 PM,Phước Hồ Đức,"","\- Khi người chơi Unlock City mới, có hiệu ứng giới thiệu thành phố kích hoạt khi mở City mới, kích hoạt Cinematic giới thiệu thành phố, địa danh đặc trưng và cảnh đẹp của thành phố đó.  
\- Bảng Debug cho phép Review Cinematic đi theo từng City."
408,"Là người chơi, tôi muốn nhận xe mới và xem các đoạn Animation trên UI giới thiệu ấn tượng của xe ngay khi hoàn thành một thành phố để cảm thấy thỏa mãn với thành quả của mình và hào hứng bắt đầu hành trình tại địa danh tiếp theo",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,181,Sub Feature #339: Map Scene Unlock,06/17/2026 01:43 PM,Phước Hồ Đức,"","\- Hệ thống phải chạy một đoạn Animation trên UI hiển thị hình ảnh 3 chiếc xe đặc trưng mà người chơi sắp được nhận làm phần thưởng  
\- Hệ thống phải cấp đúng bộ 3 xe đặc trưng của thành phố đó vào Player Garage ngay sau khi mở khóa  
\- Các xe được trao thưởng phải được thiết lập mức Car Rating (CR) khởi đầu theo đúng bảng mapping của từng thành phố  
\- Hệ thống phải tự động thêm toàn bộ các Item Visual mặc định đi kèm với các xe mới này vào Inventory của người chơi"
409,Tạo map test Collision,Task,Waiting for approve,Thống Trần Cao,Normal,12.0,"","",Level,"","","",VNRacing,182,Summary task #295: Level_Tạo Map Test ,06/17/2026 01:49 PM,Giang Dương Võ Trà,"",""
410,"Là QC, tôi muốn thấy các City Dummy với bộ dữ liệu được Setup làm Place Holder để kiểm tra các City và các Track đã được Unlock, giúp đảm bảo tính sẵn sàng của môi trường kiểm thử và luồng dữ liệu tiến trình",User story,Scheduled,Phước Hồ Đức,Normal,"",26.0,"",Game Design,"",User Story Submit ( 15/6-28/6/2026) ,"",VNRacing,2,Sub Feature #339: Map Scene Unlock,06/17/2026 01:54 PM,Phước Hồ Đức,"","\- Khi Unlock City, hệ thống phải hiển thị các thành phố chưa có trong danh sách triển khai chính thức ( từ C2 đến C5) ở dạng Dummy để làm môi trường giữ chỗ.  
\- Người chơi có thể di chuyển qua các City Dummy trong Screen VNTour để check các thành phố đó."
421,FX_Quốc Học Huế ,Summary task,In specification,Hoàng Trần Văn Huy,Normal,"",24.0,"",FX,"","","",VNRacing,184,User story #190: Map Quốc Học Huế,06/17/2026 03:29 PM,Giang Dương Võ Trà,"",""
422,FX ánh sáng RGB cầu tràng tiền,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,16.0,"","",FX,"","","",VNRacing,185,Summary task #421: FX_Quốc Học Huế ,06/17/2026 03:30 PM,Giang Dương Võ Trà,"",""
423,FX ánh sáng RGB cầu Gỗ Lim,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,8.0,"","",FX,"","","",VNRacing,186,Summary task #421: FX_Quốc Học Huế ,06/17/2026 03:30 PM,Giang Dương Võ Trà,"",""
424,Track Rewards,Sub Feature,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,187,Feature #341: Area-Track Unlock,06/17/2026 03:31 PM,Phước Hồ Đức,"",""
425,Track Unlock,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,188,Feature #341: Area-Track Unlock,06/17/2026 03:48 PM,Phước Hồ Đức,"",*   Tự động mở khóa toàn bộ lộ trình khi vào City mới.
426,Challenge Unlock,Sub Feature,In specification,"",Normal,"",24.0,"",Game Design,"","","",VNRacing,189,Feature #274: DAILY CHALLENGE,06/17/2026 04:48 PM,Giang Dương Võ Trà,"",""
427,"Là người chơi, tôi muốn thấy được nhiệm vụ mới khi đăng nhập lần đầu trong ngày",User story,In specification,"",Normal,"",24.0,"",Game Design,"","","",VNRacing,190,Sub Feature #426: Challenge Unlock,06/17/2026 04:49 PM,Giang Dương Võ Trà,"",""
428,Tạo UI và kho daily challange,Task,New,Đạt Quảng Tấn,Normal,24.0,"","",Dev,"","","",VNRacing,191,Summary task #429: Dev_Implement_427_Nhiệm vụ mới khi đăng nhập lần đầu trong ngày,06/17/2026 04:52 PM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
429,Dev_Implement_427_Nhiệm vụ mới khi đăng nhập lần đầu trong ngày,Summary task,In specification,Long Trần Anh Thượng,Normal,"",24.0,"",Dev,"","","",VNRacing,192,"User story #427: Là người chơi, tôi muốn thấy được nhiệm vụ mới khi đăng nhập lần đầu trong ngày",06/17/2026 04:53 PM,Giang Dương Võ Trà,"",""
430,Chức năng lấy challange mới mỗi ngày,Task,On hold,Đạt Quảng Tấn,Normal,16.0,"","",Dev,"","","",VNRacing,193,Summary task #433: Dev_Implement_US 432_Data các nhiệm vụ Daily Challenge,06/17/2026 04:53 PM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
431,Challenge Config ,Sub Feature,In specification,"",Normal,"",24.0,"",Game Design,"","","",VNRacing,194,Feature #274: DAILY CHALLENGE,06/17/2026 04:54 PM,Giang Dương Võ Trà,"",""
432,"Là người chơi, tôi muốn có các nhiệm vụ Daily Challenge nhiều thể loại",User story,In specification,"",Normal,"",24.0,"",Game Design,"","","",VNRacing,195,Sub Feature #431: Challenge Config ,06/17/2026 04:54 PM,Giang Dương Võ Trà,"","*   Có bộ UI để hiển thị các Daily Challenges
    
*   Tạo danh sách nhiệm vụ mẫu, Pool nhiệm vụ chung.
    
*   Chỉnh sửa nhiệm vụ thông qua Data Table."
433,Dev_Implement_US 432_Data các nhiệm vụ Daily Challenge,Summary task,In specification,Long Trần Anh Thượng,Normal,"",16.0,"",Dev,"","","",VNRacing,196,"User story #432: Là người chơi, tôi muốn có các nhiệm vụ Daily Challenge nhiều thể loại",06/17/2026 04:56 PM,Giang Dương Võ Trà,"",""
434,"Là người chơi, tôi muốn có khả năng đổi xe nhanh trong Screen Customize",User story,Confirmed,Phước Hồ Đức,Normal,"",12.0,"",Game Design,"","","",VNRacing,197,Feature #403: Car Selection,06/17/2026 05:01 PM,Giang Dương Võ Trà,"","*   Update UI
    
*   Tạo danh sách xe đù 15 xe.
    
*   Hiển thị thông tin điều kiện để Unlock các xe chưa sở hữu."
436,Dev_Implement_US434_Khả năng đổi xe nhanh trong Screen Customize,Summary task,Developed,Long Trần Anh Thượng,Normal,"",12.0,"",Dev,"","","",VNRacing,199,"User story #434: Là người chơi, tôi muốn có khả năng đổi xe nhanh trong Screen Customize",06/17/2026 05:02 PM,Giang Dương Võ Trà,"",""
437,Ghép Trận ,Sub Feature,In specification,"",Normal,"",78.0,"",Game Design,"","","",VNRacing,200,Feature #273: MULTIPLAYER,06/18/2026 08:13 AM,Giang Dương Võ Trà,"",""
438,Implement logic ghép trận của multiplayer,Task,New,Khan Vương Huỳnh,Normal,40.0,"","",Dev,"","","",VNRacing,201,Summary task #275: Dev_Implement _Multi Player,06/18/2026 08:14 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
439,Là người chơi tôi muốn được ghép trận đua với người chơi khác và có khả năng cancel giữa chừng trước khi vào trận ,User story,In specification,Phước Hồ Đức,Normal,"",78.0,"",Game Design,"","","",VNRacing,202,Sub Feature #437: Ghép Trận ,06/18/2026 08:15 AM,Giang Dương Võ Trà,"",""
440,"Là người chơi, tôi muốn được tuỳ chọn đổi xe trong mode đua Multi-Player",User story,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,203,Sub Feature #437: Ghép Trận ,06/18/2026 08:15 AM,Giang Dương Võ Trà,"",""
442,Tạo Mockup city 4 trên UI,Task,In progress,Hiếu Hoàng Trọng,Normal,8.0,"","",Dev,"","","",VNRacing,205,Summary task #485: Dev_Implement_US355_Được chọn track trên bản đồ,06/18/2026 08:38 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
443,Tạo Mockup UI của City 5 trên UI,Task,New,Hiếu Hoàng Trọng,Normal,8.0,"","",Dev,"","","",VNRacing,206,Summary task #485: Dev_Implement_US355_Được chọn track trên bản đồ,06/18/2026 08:39 AM,Long Trần Anh Thượng,Long Trần Anh Thượng,""
445,Hoàn thành lõi CDN cho project racing,User story,New,"",Normal,"",28.0,"",Dev,"","","",VNRacing,208,Feature #250: CDN,06/18/2026 08:59 AM,Giang Dương Võ Trà,"",""
446,"Hoàn thiện, đóng gói CDN feature",User story,New,"",Normal,"",40.0,"",Dev,"","","",VNRacing,209,Feature #250: CDN,06/18/2026 09:00 AM,Giang Dương Võ Trà,"",""
447,Vào Trận - Trong Trận ,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,210,Feature #273: MULTIPLAYER,06/18/2026 10:03 AM,Giang Dương Võ Trà,"",""
448,Sau trận ,Sub Feature,New,"",Normal,"","","",Game Design,"","","",VNRacing,211,Feature #273: MULTIPLAYER,06/18/2026 10:03 AM,Giang Dương Võ Trà,"",""
452,"Là Người chơi, tôi muốn có thể truy cập vào Cửa hàng từ nhiều màn hình khác nhau để thuận tiện cho việc mua sắm khi cần thiết",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,212,Feature #405: Shop Display ,06/18/2026 01:30 PM,Giang Dương Võ Trà,"",""
453,"Là Người chơi, tôi muốn các mặt hàng được phân loại rõ ràng theo tab để dễ dàng tim kiếm gói vật phẩm phù hợp",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,213,Feature #405: Shop Display ,06/18/2026 01:31 PM,Giang Dương Võ Trà,"",""
454,GD_Play test_US 391_Minimap ,Task,New,Phước Hồ Đức,Normal,4.0,"","",Game Design,"","","",VNRacing,214,"User story #391: Là người chơi, tôi muốn MiniMap hiển thị lộ trình, vị trí đối thủ và các điểm mốc quan trọng, đồng thời tự động thay đổi mức thu phóng theo tốc độ xe để hỗ trợ quan sát và định hướng hiệu quả trong suốt cuộc đua.",06/18/2026 01:33 PM,Giang Dương Võ Trà,"",""
455,Purchase Flow ,Feature,New,"",Normal,"",12.0,"",Game Design,"","","",VNRacing,215,Epic #366: SHOP & IAP,06/18/2026 01:47 PM,Giang Dương Võ Trà,"",""
456,"Là Người chơi, tôi muốn thực hiện các bước mua hàng một cách minh bach và có bước xác nhân để tránh mua nhẩm",User story,New,"",Normal,"",12.0,"",Game Design,"","","",VNRacing,216,Feature #455: Purchase Flow ,06/18/2026 01:47 PM,Giang Dương Võ Trà,"",""
457,Dev_Implement_US456_Thực hiện các bước mua hàng ,Summary task,Specified,Long Trần Anh Thượng,Normal,"",12.0,"",Dev,"","","",VNRacing,217,"User story #456: Là Người chơi, tôi muốn thực hiện các bước mua hàng một cách minh bach và có bước xác nhân để tránh mua nhẩm",06/18/2026 01:48 PM,Giang Dương Võ Trà,"",""
458,TA_Setting Camera - Steering ,Summary task,In progress,Phú Phạm Tấn,Normal,"",4.0,"",TechArt,"","","",VNRacing,218,"User story #375: Là người chơi, tôi muốn Camera di chuyển linh hoạt theo hướng bẻ lái để mở rộng tầm nhìn về phía góc cua và tăng cảm giác chân thực",06/18/2026 01:52 PM,Giang Dương Võ Trà,"",""
459,Setting Camera - Steering,Task,In progress,Phú Phạm Tấn,Normal,4.0,"","",TechArt,"","","",VNRacing,219,Summary task #458: TA_Setting Camera - Steering ,06/18/2026 01:53 PM,Giang Dương Võ Trà,"",""
460,GD_Play test_Camera_Steering,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,220,"User story #375: Là người chơi, tôi muốn Camera di chuyển linh hoạt theo hướng bẻ lái để mở rộng tầm nhìn về phía góc cua và tăng cảm giác chân thực",06/18/2026 01:54 PM,Giang Dương Võ Trà,"",""
461,"Là người chơi, tôi muốn tất cả các khu vực (Area) và chặng đua (Track) trong một thành phố được mở khóa ngay lập tức khi tôi đặt chân đến đó để có thể tự do lựa chọn thử thách theo ý thích.",User story,New,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,221,Sub Feature #425: Track Unlock,06/18/2026 01:55 PM,Phước Hồ Đức,"","\- Ngay khi một City mới được mở khóa, hệ thống phải tự động chuyển trạng thái của 5 Area và 15 Tracks của City mới (mỗi Area có 3 Tracks) sang &quot;Unlocked&quot;.  
\- Người chơi có thể chọn đua bất kỳ Track nào trong danh sách 15 chặng của thành phố hiện tại mà không cần phải đua theo thứ tự tuyến tính.  
\- Màn hình VN Tour Map phải hiển thị đầy đủ icon của các Area và danh sách các Track tương ứng ngay từ lần truy cập đầu tiên vào thành phố mới."
462,"Là QC, tôi muốn thấy các Area và Track chưa có dữ liệu chính thức dưới dạng ""Dummy"" để đảm bảo luồng tiến trình vẫn hoạt động ổn định trong quá trình phát triển.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,222,Sub Feature #343: Track Config,06/18/2026 02:01 PM,Phước Hồ Đức,"","\- Các Area chưa được thiết kế asset hoặc tên gọi chính thức phải hiển thị tên theo quy tắc: Area #\[N\] (ví dụ: Area #1, Area #2).  
\- Các Track bên trong Area Dummy phải được đặt tên là Track #\[N\] và sử dụng một Map cảnh quan tạm thời (Placeholder) để có thể vào đua được.  
\- Dữ liệu về độ khó (E/M/H) và phần thưởng của các Dummy Track phải được map theo bảng thông số mặc định của thành phố đó để phục vụ việc test cân bằng kinh tế và độ khó."
463,"Là QC/Developer, tôi muốn có khả năng nhận kết quả nhanh khi chọn đua các Dummy Track để tiết kiệm thời gian kiểm thử các điều kiện hoàn thành Goal.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,223,Sub Feature #343: Track Config,06/18/2026 02:02 PM,Phước Hồ Đức,"","\- Đối với các chặng đua ở trạng thái Dummy, khi người chơi/QC bấm nút Race, hệ thống phải hiển thị một Pop-up xác nhận kết quả thay vì load vào màn đua thực tế.&nbsp;  
\- Pop-up phải cung cấp 2 lựa chọn: Thắng (Win) và Thua (Lose).   
\- Nếu chọn Thắng: Hệ thống trả về kết quả tương đương vị trí P1, trao thưởng Cash (bao gồm cả First Win/First Time Bonus) và Tokens theo đúng quy định của thành phố đó.   
\- Nếu chọn Thua: Hệ thống trả về trạng thái không hoàn thành và đưa người chơi quay lại màn hình chọn Track."
464,GD_Play test_US 410_Unlock City_C1-C5 ,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,224,"User story #410: Là QC, tôi muốn thấy các City Dummy với bộ dữ liệu được Setup làm Place Holder để kiểm tra các City và các Track đã được Unlock, giúp đảm bảo tính sẵn sàng của môi trường kiểm thử và luồng dữ liệu tiến trình",06/18/2026 02:08 PM,Giang Dương Võ Trà,"",""
465,GD_Playtest_Collision Debug,Task,New,Phước Hồ Đức,Normal,4.0,"","",Game Design,"","","",VNRacing,225,"User story #284: Là người chơi, tôi muốn cảm giác va chạm mang tính Arcade để giữ nhịp độ cuộc đua ổn định, xe không bị lật và nhanh chóng quay lại đường đua sau khi tông vào tường hoặc vật thể",06/18/2026 02:12 PM,Giang Dương Võ Trà,"",""
466,"Là Player, tôi muốn Area được chọn trên bản đồ VN Tour sẽ được highlight và TrackList xuất hiện kèm theo hiệu ứng animation để tôi có phản hồi thị giác rõ ràng về vị trí địa lý đang chọn.",User story,In specification,Phước Hồ Đức,Normal,"",48.0,"",Game Design,"","","",VNRacing,226,Sub Feature #342: Track Selection,06/18/2026 02:15 PM,Phước Hồ Đức,"","\- Hiệu ứng Chọn (Selection &amp; Highlight): Kích hoạt hiệu ứng thị giác (highlight/xoáy) tại Area được chọn đồng thời thực hiện animation &quot;push&quot; danh sách Track ra màn hình một cách mượt mà.&nbsp;  
\- Hiển thị Thông tin: Mỗi thẻ chặng đua phải hiển thị đầy đủ 4 trường dữ liệu: Tên Track, Thứ hạng tốt nhất (Best Rank), Kỷ lục thời gian (Track Record) và Nhãn độ khó (E/M/H).   
\- Cơ chế Thu hồi (Deselect): Chạy animation đảo ngược để đóng danh sách và tắt highlight khu vực khi người chơi bấm nút Back hoặc chạm vùng trống bên ngoài.   
\- Hỗ trợ Dữ liệu Dummy: Tính năng highlight và animation phải hoạt động ổn định trên cả các khu vực/chặng đua giữ chỗ (Dummy Area/Track) của các thành phố chưa triển khai asset (C2 - C5)"
467,"Là người chơi, tôi muốn nhận được phần thưởng Cash sau mỗi cuộc đua dựa trên thành tích của mình để có đủ tài nguyên nâng cấp hiệu năng xe (Performance) theo cấp độ của từng thành phố",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,227,Sub Feature #424: Track Rewards,06/18/2026 02:17 PM,Phước Hồ Đức,"","\- Tính toán theo vị thế: Hệ thống phải tự động trao thưởng Cash dựa trên vị trí về đích (P1, P2, P3, P4+). Số tiền thưởng cơ bản giảm dần theo bậc 20% cho mỗi vị trí tiếp theo.  
\- Áp dụng hệ số ScaleIndex: Giá trị Cash thưởng phải được nhân với hệ số ScaleIndex tương ứng với thành phố hiện tại (ví dụ: City 2 nhân 3.2, City 5 nhân 26) để đảm bảo cân bằng kinh tế.  
\-Thưởng chặng đua mới (New Race Bonus): Hệ thống phải kiểm tra và cộng thêm First Time Bonus (lần đầu hoàn thành) và First Win Bonus (lần đầu thắng) cho mỗi Track. Mỗi loại thưởng này chỉ được nhận duy nhất 1 lần/track.  
\-Hiển thị kết quả: Tại màn hình Race Results, phải hiển thị bảng tổng kết chi tiết các nguồn tiền nhận được (Position Cash, Bonus Cash).  
~~\-Cập nhật Wallet: Số dư tại thanh Top Bar (Wallet) phải chạy hiệu ứng đếm số (Counting animation) ngay khi người chơi quay lại màn hình chọn Track~~"
468,"Là người chơi, tôi muốn nhận được các vật phẩm (Items) ngẫu nhiên thông qua hệ thống Tokens sau cuộc đua để sưu tầm các linh kiện nâng cấp và phụ kiện trang trí xe",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,228,Sub Feature #424: Track Rewards,06/18/2026 02:18 PM,Phước Hồ Đức,"","\- Số lượng Tokens theo hạng: Hệ thống trao thưởng số lượng lượt mở quà (Tokens) dựa trên thứ hạng: Về nhất (P1): 3 Tokens, Về nhì (P2): 2 Tokens, Về ba (P3): 1 Token. Hạng 4 trở đi không nhận được Tokens.&nbsp;  
\- Cơ chế rút từ City Pool: Vật phẩm nhận được phải được rút ngẫu nhiên từ Reward Item Pool duy nhất của thành phố đó, bao gồm 3 loại: Visual Parts (50%), Performance Parts (35%) và Currency (15%).   
\- Xử lý trùng lặp (Duplicate Handling): Nếu bốc trúng Item Visual đã sở hữu, hệ thống phải tự động quy đổi thành Cash đền bù tương ứng với độ hiếm (Common: $100, Uncommon: $200, Rare: $300).   
\- Hiệu ứng trao thưởng: Hệ thống phải kích hoạt hiệu ứng FX và Animation mở quà ấn tượng tại màn hình kết quả để tăng cảm giác phấn khích.   
\- Cập nhật Inventory: Vật phẩm sau khi nhận phải được cập nhật ngay lập tức vào Player Inventory và đồng bộ lên Cloud để đảm bảo an toàn dữ liệu"
469,TA_Setting_Camera_Drifting,Summary task,In progress,Phú Phạm Tấn,Normal,"","","",TechArt,"","","",VNRacing,229,"User story #376: Là người chơi, tôi muốn Camera có góc nhìn rộng và mạnh mẽ hơn khi thực hiện cú Drift để tăng cảm giác phấn khích của dòng game Arcade",06/18/2026 02:20 PM,Giang Dương Võ Trà,"",""
470,TA_Setting_Camera_Uphill - Downhill,Summary task,In progress,Phú Phạm Tấn,Normal,"",4.0,"",TechArt,"","","",VNRacing,230,"User story #379: Là người chơi, tôi muốn Camera tự động điều chỉnh độ cao và góc nhìn khi lên/xuống dốc để luôn quan sát được đoạn đường phía trước",06/18/2026 02:21 PM,Giang Dương Võ Trà,"",""
471,Dev_Implement_Camera Up hill & Downhill ,Summary task,Developed,Long Trần Anh Thượng,Normal,"",8.0,"",Dev,"","","",VNRacing,244,"User story #379: Là người chơi, tôi muốn Camera tự động điều chỉnh độ cao và góc nhìn khi lên/xuống dốc để luôn quan sát được đoạn đường phía trước",06/18/2026 02:22 PM,Giang Dương Võ Trà,"",""
472,TA_Setting_US377 - Camera - NOS,Summary task,Scheduled,Phú Phạm Tấn,Normal,"",4.0,"",TechArt,"","","",VNRacing,231,"User story #377: Là người chơi, tôi muốn thấy hiệu ứng Camera giật mạnh và thay đổi tiêu cự khi dùng NOS để cảm nhận được gia tốc cực đại của xe",06/18/2026 02:23 PM,Giang Dương Võ Trà,"",""
473,"Là người chơi, tôi muốn theo dõi được tiến độ hoàn thành của mình tại từng khu vực cụ thể để biết mình còn bao nhiêu thử thách cần chinh phục.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,232,Sub Feature #342: Track Selection,06/18/2026 02:26 PM,Phước Hồ Đức,"","\- Mỗi Panel Area trên UI phải hiển thị trạng thái của 3 Track nội bộ thông qua các chỉ báo trực quan Icon trạng thái).  
\- Hệ thống phải phân biệt rõ 3 trạng thái trên Panel:&nbsp;  
Chưa đua (Not Raced): Track chưa có dữ liệu record.   
Đã hoàn thành (Completed): Đã về đích ở vị trí P2-P4.  
Chiến thắng (Victory): Đã về nhất (P1).  
\- Panel Area phải hiển thị tổng số Track đã &quot;Mastered&quot; (ví dụ: &quot;Progress: 2/3 Won&quot;). Khi cả 3 Track đều đạt P1, Area đó được đánh dấu là &quot;Cleared&quot; hoặc &quot;Mastered&quot;."
474,"Là người chơi, tôi muốn thấy các hiệu ứng hình ảnh sinh động khi hoàn thành chặng đua hoặc khi khu vực được cập nhật thông tin để cảm thấy sự tiến bộ rõ rệt.",User story,New,"",Normal,"","","",Game Design,"","","",VNRacing,233,Sub Feature #342: Track Selection,06/18/2026 02:27 PM,Phước Hồ Đức,"","\- Khi người chơi quay lại màn hình chọn Track sau một trận đua, Panel của Track đó phải chạy một Update Animation (ví dụ: hiệu ứng sáng lên hoặc đổ màu) để cập nhật kết quả mới nhất (Rank, Best Time).&nbsp;  
\- Khi một Track chuyển trạng thái từ &quot;Chưa đua&quot; sang &quot;Chiến thắng&quot;, icon chặng đua trên Panel Area phải có hiệu ứng Update ấn tượng.   
\- Khi hoàn thành toàn bộ 3 Track trong một Area (Chiến thắng cả 3), toàn bộ Panel Area đó phải chạy một hiệu ứng Mastery Animation đặc biệt để chúc mừng người chơi.   
~~\- Các thông số về tiền thưởng (Cash) và phần thưởng (Rewards) nhận được từ trận đua vừa rồi phải được cập nhật trên thanh Top Bar (Wallet) bằng hiệu ứng đếm số (Counting animation).~~"
475,Setting_Camera_Uphill - Downhill,Task,In progress,Phú Phạm Tấn,Normal,4.0,"","",TechArt,"","","",VNRacing,234,Summary task #470: TA_Setting_Camera_Uphill - Downhill,06/18/2026 02:32 PM,Giang Dương Võ Trà,"",""
476,GD_Play Test_Camera_Uphill - Downhill,Task,New,Phước Hồ Đức,Normal,2.0,"","",Game Design,"","","",VNRacing,235,"User story #379: Là người chơi, tôi muốn Camera tự động điều chỉnh độ cao và góc nhìn khi lên/xuống dốc để luôn quan sát được đoạn đường phía trước",06/18/2026 02:36 PM,Giang Dương Võ Trà,"",""
